month,collection_20_21,collection_19_20,collection_18_19,state
March,3925.9700000000003,3273,3722,National Capital Territory of Delhi[edit]
April,NA,NA,NA,Puducherry[edit]
May,NA,NA,NA,Puducherry[edit]
June,141,135,NA,Puducherry[edit]
July,136,145,NA,Puducherry[edit]
August,137,161,NA,Puducherry[edit]
September,148,149,NA,Puducherry[edit]
October,161,146,NA,Puducherry[edit]
November,158,157,NA,Puducherry[edit]
December,159,165,152,Puducherry[edit]
January,NA,188,159,Puducherry[edit]
February,158.05,159,175,Puducherry[edit]
March,161.04,149,184,Puducherry[edit]
